file,column,schema_required,unit,definition,defined_in
D7_disclosed_plan,facility_id,yes,,"What was committed, where, when. facility_id and tech_id are blank where the disclosure names neither",TECHNICAL_GUIDE.md §3.8
D7_disclosed_plan,tech_id,yes,,"What was committed, where, when. facility_id and tech_id are blank where the disclosure names neither",TECHNICAL_GUIDE.md §3.8
D7_disclosed_plan,year_stated,yes,,"What was committed, where, when. facility_id and tech_id are blank where the disclosure names neither",TECHNICAL_GUIDE.md §3.8
D7_disclosed_plan,coverage_pct,yes,,"Share of the unit covered. Blank in all 12 rows — no firm quantifies it, so no partial commitment can be forced. It is also the field a ppa row would carry, which is why the PPA share below is always 0",TECHNICAL_GUIDE.md §3.8
D7_disclosed_plan,resolution,yes,,"How enforceable the statement is, as judged when the row was written. Two values occur, high (7) and mid (5). Read by no stage, and it decides nothing — the enforcement test below never consults it, so a high row and a mid row fail or survive on identical grounds",TECHNICAL_GUIDE.md §3.8
D7_disclosed_plan,source_id,yes,,Foreign key into source_register,TECHNICAL_GUIDE.md §3.8
D7_disclosed_plan,quote,yes,,"The disclosure text the row was derived from, verbatim",TECHNICAL_GUIDE.md §3.8
result_affordability,company_id,,,"Key, same cell definition as above",TECHNICAL_GUIDE.md §3.10
result_affordability,scenario,,,"Key, same cell definition as above",TECHNICAL_GUIDE.md §3.10
result_affordability,support,,,"Key, same cell definition as above",TECHNICAL_GUIDE.md §3.10
result_affordability,capex_total_bnkrw,,,Carried over from ①,TECHNICAL_GUIDE.md §3.10
result_affordability,capex_peak_bnkrw,,,Carried over from ①,TECHNICAL_GUIDE.md §3.10
result_affordability,capex_peak_year,,,Carried over from ①,TECHNICAL_GUIDE.md §3.10
result_affordability,ebitda_ref_bnkrw,,,"Reference earnings — mean of the last three reported years of D6.ebitda, which is not a fixed window and differs by firm",TECHNICAL_GUIDE.md §3.10
result_affordability,ebitda_years,,,"The years that mean was taken over, semicolon-separated. It exists so the window is visible rather than assumed",TECHNICAL_GUIDE.md §3.10
result_affordability,revenue_latest_bnkrw,,,Latest non-null D6.revenue / D6.net_debt. net_debt is blank for POSCO and LOTTE by entity boundary (§3.7),TECHNICAL_GUIDE.md §3.10
result_affordability,net_debt_bnkrw,,,Latest non-null D6.revenue / D6.net_debt. net_debt is blank for POSCO and LOTTE by entity boundary (§3.7),TECHNICAL_GUIDE.md §3.10
result_affordability,capex_peak_to_ebitda,,,"Metric ⑥ — blank where reference EBITDA is ≤ 0, because a ratio on a loss is not a smaller burden",TECHNICAL_GUIDE.md §3.10
result_affordability,capex_total_to_ebitda,,,"Metric ⑥ — blank where reference EBITDA is ≤ 0, because a ratio on a loss is not a smaller burden",TECHNICAL_GUIDE.md §3.10
result_affordability,capex_total_to_revenue_pct,,,"Total CAPEX as a share of latest revenue. Computed even on negative EBITDA, which is why LOTTE has this and no other ⑥ figure",TECHNICAL_GUIDE.md §3.10
result_affordability,netdebt_to_ebitda_now,,,"Leverage before, and with the whole transition CAPEX debt-financed — a ceiling, not a funding forecast",TECHNICAL_GUIDE.md §3.10
result_affordability,netdebt_to_ebitda_post,,,"Leverage before, and with the whole transition CAPEX debt-financed — a ceiling, not a funding forecast",TECHNICAL_GUIDE.md §3.10
result_affordability,funding_verdict,,,"Banded reading of capex_peak_to_ebitda (Korean text). A label over the ratio, carrying no extra information",TECHNICAL_GUIDE.md §3.10
result_emissions_pathway,company_id,,,"Key. plan ∈ baseline, cost_min, disclosed; there is no support column — pathways are computed for the first configured support level only (support_scenarios[0], src/cap/e5_metrics.py:290) and are not re-run for the others",TECHNICAL_GUIDE.md §3.10
result_emissions_pathway,scenario,,,"Key. plan ∈ baseline, cost_min, disclosed; there is no support column — pathways are computed for the first configured support level only (support_scenarios[0], src/cap/e5_metrics.py:290) and are not re-run for the others",TECHNICAL_GUIDE.md §3.10
result_emissions_pathway,plan,,,"Key. plan ∈ baseline, cost_min, disclosed; there is no support column — pathways are computed for the first configured support level only (support_scenarios[0], src/cap/e5_metrics.py:290) and are not re-run for the others",TECHNICAL_GUIDE.md §3.10
result_emissions_pathway,year,,,"Key. plan ∈ baseline, cost_min, disclosed; there is no support column — pathways are computed for the first configured support level only (support_scenarios[0], src/cap/e5_metrics.py:290) and are not re-run for the others",TECHNICAL_GUIDE.md §3.10
result_emissions_pathway,emissions_tco2,,,Firm emissions in that year under that plan,TECHNICAL_GUIDE.md §3.10
result_emissions_pathway,budget_tco2,,,"The D2a-derived allowance for the same firm-year, repeated on every plan row so the comparison needs no join",TECHNICAL_GUIDE.md §3.10
result_gap,company_id,,,"Key plus the disclosed plan's id — this file is about the disclosed coordinate, and a firm with no representable commitment has no row (§6.4)",TECHNICAL_GUIDE.md §3.10
result_gap,scenario,,,"Key plus the disclosed plan's id — this file is about the disclosed coordinate, and a firm with no representable commitment has no row (§6.4)",TECHNICAL_GUIDE.md §3.10
result_gap,support,,,"Key plus the disclosed plan's id — this file is about the disclosed coordinate, and a firm with no representable commitment has no row (§6.4)",TECHNICAL_GUIDE.md §3.10
result_gap,plan_id,,,"Key plus the disclosed plan's id — this file is about the disclosed coordinate, and a firm with no representable commitment has no row (§6.4)",TECHNICAL_GUIDE.md §3.10
result_gap,p50,,,"The disclosed plan's own coordinate in the (P50, TCaR) plane",TECHNICAL_GUIDE.md §3.10
result_gap,tcar,,,"The disclosed plan's own coordinate in the (P50, TCaR) plane",TECHNICAL_GUIDE.md §3.10
result_gap,gap_cost_bnkrw,,,Horizontal and vertical distance from that coordinate to the efficient frontier (§2),TECHNICAL_GUIDE.md §3.10
result_gap,gap_risk_bnkrw,,,Horizontal and vertical distance from that coordinate to the efficient frontier (§2),TECHNICAL_GUIDE.md §3.10
result_metrics_company,company_id,,,"Key. One row per firm × scenario × support axis, for the cost-minimising plan of that cell — not for the disclosed plan",TECHNICAL_GUIDE.md §3.10
result_metrics_company,scenario,,,"Key. One row per firm × scenario × support axis, for the cost-minimising plan of that cell — not for the disclosed plan",TECHNICAL_GUIDE.md §3.10
result_metrics_company,support,,,"Key. One row per firm × scenario × support axis, for the cost-minimising plan of that cell — not for the disclosed plan",TECHNICAL_GUIDE.md §3.10
result_metrics_company,capex_total_bnkrw,,,"Metric ① — transition CAPEX of that plan, undiscounted sum and largest single year. Unrelated to D6.capex_total despite the name",TECHNICAL_GUIDE.md §3.10
result_metrics_company,capex_peak_bnkrw,,,"Metric ① — transition CAPEX of that plan, undiscounted sum and largest single year. Unrelated to D6.capex_total despite the name",TECHNICAL_GUIDE.md §3.10
result_metrics_company,capex_peak_year,,,"Metric ① — transition CAPEX of that plan, undiscounted sum and largest single year. Unrelated to D6.capex_total despite the name",TECHNICAL_GUIDE.md §3.10
result_metrics_company,p50_bnkrw,,,"Metric ② — median incremental NPV against the incumbent plan, excluding carbon expenditure (A-19)",TECHNICAL_GUIDE.md §3.10
result_metrics_company,cost_per_tco2_thkrw,,,Metric ② per tonne — p50 ÷ discounted abated tCO₂,TECHNICAL_GUIDE.md §3.10
result_metrics_company,tcar_bnkrw,,,Metric ③ — P90 − P50 of the same distribution,TECHNICAL_GUIDE.md §3.10
result_metrics_company,flex_value_bnkrw,,,"Metric ⑤ — mean value of re-optimising per path, a lower bound",TECHNICAL_GUIDE.md §3.10
result_metrics_company,p50_incl_carbon_bnkrw,,,"The same P50 with carbon expenditure included, and the difference. The pair is what makes A-19 auditable rather than assumed",TECHNICAL_GUIDE.md §3.10
result_metrics_company,carbon_delta_bnkrw,,,"The same P50 with carbon expenditure included, and the difference. The pair is what makes A-19 auditable rather than assumed",TECHNICAL_GUIDE.md §3.10
result_metrics_company,policy_exposure_bnkrw,,,"Metric ④ — P50 under the first configured scenario minus P50 under the second, within a support level",TECHNICAL_GUIDE.md §3.10
source_register,source_id,,,"Primary key, referenced by every source_id above",TECHNICAL_GUIDE.md §3.10
source_register,publisher,,,Bibliographic identity of the source,TECHNICAL_GUIDE.md §3.10
source_register,title,,,Bibliographic identity of the source,TECHNICAL_GUIDE.md §3.10
source_register,source_type,,,Bibliographic identity of the source,TECHNICAL_GUIDE.md §3.10
source_register,url_or_doi,,,Bibliographic identity of the source,TECHNICAL_GUIDE.md §3.10
source_register,publication_date,,,When the source was published and when we took it. publication_date is empty where the publisher states none,TECHNICAL_GUIDE.md §3.10
source_register,retrieved_at,,,When the source was published and when we took it. publication_date is empty where the publisher states none,TECHNICAL_GUIDE.md §3.10
source_register,reporting_start,,,"The period the figures describe — distinct from publication date, and the field that makes a vintage claim checkable",TECHNICAL_GUIDE.md §3.10
source_register,reporting_end,,,"The period the figures describe — distinct from publication date, and the field that makes a vintage claim checkable",TECHNICAL_GUIDE.md §3.10
source_register,location,,,"Where inside the source the figure sits (page, table, sheet)",TECHNICAL_GUIDE.md §3.10
source_register,licence,,,"Licence as stated, and whether we may republish the extracted values. conditional means cited but not redistributed in full",TECHNICAL_GUIDE.md §3.10
source_register,redistributable,,,"Licence as stated, and whether we may republish the extracted values. conditional means cited but not redistributed in full",TECHNICAL_GUIDE.md §3.10
source_register,file_name,,,"The retained copy and its hash, where the licence permits retention",TECHNICAL_GUIDE.md §3.10
source_register,sha256,,,"The retained copy and its hash, where the licence permits retention",TECHNICAL_GUIDE.md §3.10
source_register,extraction_method,,,"How the number was taken out — web fetch, PDF text, manual transcription. It is the field that says how much to trust a single digit",TECHNICAL_GUIDE.md §3.10
source_register,quality_note,,,"Free text (Korean) on caveats, disputed values and what was verified",TECHNICAL_GUIDE.md §3.10
