company_id,company_name,country,sector,facility_id,facility_name,baseline_variant,variant_role,case,baseline_period,baseline_operational_ghg_tco2e,baseline_emissions_value_type,selected_route,decision_horizon,facility_status,modelled_flag,transition_capex_usd_2025,modelled_operational_abatement_tco2e,annual_capital_and_fixed_opex_factor,annualised_capital_and_fixed_opex_usd_2025,incremental_variable_resource_cost_usd_2025_per_operational_tco2e_abated,annual_variable_resource_gap_usd_2025,annual_resource_gap_proxy_usd_2025,annual_resource_gap_proxy_usd_2025_per_operational_tco2e_abated,support_stress_low,support_stress_base,support_stress_high,implied_support_low_usd_2025,implied_support_base_usd_2025,implied_support_high_usd_2025,stress_adjusted_gap_low_usd_2025,stress_adjusted_gap_base_usd_2025,stress_adjusted_gap_high_usd_2025,verified_market_policy_status,verified_incentive_adjusted_gap_usd_2025,system_abatement_status,currency,price_year,value_type,quality_flag,source_id,formula_or_method,boundary_note
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_KASHIMA,East Nippon Works Kashima Area,primary_current,primary,base,FY2024,13795561.067,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,4872000000,10346670.80025,0.09595245729922962676807129719,467480371.9618467416140433599,60,620800248.015,1088280619.97684674161404336,105.1817189303588659534285795,0,0.25,0.5,0,272070154.99421168540351084,544140309.98842337080702168,1088280619.97684674161404336,816210464.98263505621053252,544140309.98842337080702168,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_KASHIMA,East Nippon Works Kashima Area,primary_current,primary,high,FY2024,15864895.226,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,7308000000,15071650.4647,0.1343929257432556951708117596,982143501.3317126203082923392,120,1808598055.764,2790741557.095712620308292339,185.1649601105091782886861882,0,0.25,0.5,0,697685389.2739281550770730848,1395370778.54785631015414617,2790741557.095712620308292339,2093056167.821784465231219254,1395370778.547856310154146169,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_KIMITSU,East Nippon Works Kimitsu Area,primary_current,primary,low,FY2024,12708226.204,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,3300000000,6354113.102,0.06601925932025258174066204669,217863555.7568335197441847541,20,127082262.04,344945817.7968335197441847541,54.28701256328904416536222274,0,0.25,0.5,0,86236454.44920837993604618852,172472908.898416759872092377,344945817.7968335197441847541,258709363.3476251398081385656,172472908.8984167598720923771,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_KIMITSU,East Nippon Works Kimitsu Area,primary_current,primary,base,FY2024,14950854.358,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,5280000000,11213140.7685,0.09595245729922962676807129719,506628974.5399324293354164492,60,672788446.11,1179417420.649932429335416449,105.1817189313413932760632362,0,0.25,0.5,0,294854355.1624831073338541122,589708710.3249662146677082245,1179417420.649932429335416449,884563065.4874493220015623368,589708710.3249662146677082245,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_KIMITSU,East Nippon Works Kimitsu Area,primary_current,primary,high,FY2024,17193482.511,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,7920000000,16333808.38545,0.1343929257432556951708117596,1064391971.886585105752829136,120,1960057006.254,3024448978.140585105752829136,185.1649601102664627409983681,0,0.25,0.5,0,756112244.535146276438207284,1512224489.070292552876414568,3024448978.140585105752829136,2268336733.605438829314621852,1512224489.070292552876414568,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_NAGOYA,Nagoya Works,primary_current,primary,low,FY2024,10532423.839,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,2735000000,5266211.9195,0.06601925932025258174066204669,180562674.2408908110607106977,20,105324238.39,285886912.6308908110607106977,54.28701256253932092842559936,0,0.25,0.5,0,71471728.15772270276517767442,142943456.3154454055303553488,285886912.6308908110607106977,214415184.4731681082955330233,142943456.3154454055303553489,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_NAGOYA,Nagoya Works,primary_current,primary,base,FY2024,12391086.869,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,4376000000,9293315.15175,0.09595245729922962676807129719,419887953.1414288467370799965,60,557598909.105,977486862.2464288467370799965,105.1817189329214600673977403,0,0.25,0.5,0,244371715.5616072116842699991,488743431.1232144233685399982,977486862.2464288467370799965,733115146.6848216350528099974,488743431.1232144233685399983,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_NAGOYA,Nagoya Works,primary_current,primary,high,FY2024,14249749.9,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,6564000000,13537262.405,0.1343929257432556951708117596,882155164.57873038310120839,120,1624471488.6,2506626653.17873038310120839,185.1649601069198143464079797,0,0.25,0.5,0,626656663.2946825957753020975,1253313326.589365191550604195,2506626653.17873038310120839,1879969989.884047787325906292,1253313326.589365191550604195,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_WAKAYAMA,Kansai Works Wakayama Area,primary_current,primary,low,FY2024,4197565.625,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,1090000000,2098782.8125,0.06601925932025258174066204669,71960992.65907531409732163089,20,41975656.25,113936648.9090753140973216309,54.28701256294250984929944051,0,0.25,0.5,0,28484162.22726882852433040772,56968324.45453765704866081545,113936648.9090753140973216309,85452486.68180648557299122318,56968324.45453765704866081545,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_WAKAYAMA,Kansai Works Wakayama Area,primary_current,primary,base,FY2024,4938312.5,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,1744000000,3703734.375,0.09595245729922962676807129719,167341085.5298564690835163423,60,222224062.5,389565148.0298564690835163423,105.1817189319513414305031911,0,0.25,0.5,0,97391287.00746411727087908558,194782574.0149282345417581712,389565148.0298564690835163423,292173861.0223923518126372567,194782574.0149282345417581711,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_WAKAYAMA,Kansai Works Wakayama Area,primary_current,primary,high,FY2024,5679059.375,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,2616000000,5395106.40625,0.1343929257432556951708117596,351571893.7443568985668435631,120,647412768.75,998984662.4943568985668435631,185.16496010849311477689515,0,0.25,0.5,0,249746165.6235892246417108908,499492331.2471784492834217816,998984662.4943568985668435631,749238496.8707676739251326723,499492331.2471784492834217815,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_OSAKA,Kansai Works Osaka Area,primary_current,primary,low,FY2024,57764.665,Allocated,steel_eaf_efficiency,2030,price-conditional,yes,750000,2888.23325,0.08376658046228803949091280824,62824.93534671602961818460618,-20,-57764.665,5060.27034671602961818460618,1.752029669596813075323679685,0,0.05,0.15,0,253.013517335801480909230309,759.040552007404442727690927,5060.27034671602961818460618,4807.256829380228137275375871,4301.229794708625175456915253,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_OSAKA,Kansai Works Osaka Area,primary_current,primary,base,FY2024,67958.429,Allocated,steel_eaf_efficiency,2030,price-conditional,yes,1500000,6795.8429,0.1228254100208153991016925046,184238.1150312230986525387569,0,0,184238.1150312230986525387569,27.11041407846892673939516125,0,0.05,0.15,0,9211.905751561154932626937845,27635.71725468346479788081354,184238.1150312230986525387569,175026.2092796619437199118191,156602.3977765396338546579434,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_OSAKA,Kansai Works Osaka Area,primary_current,primary,high,FY2024,78152.193,Allocated,steel_eaf_efficiency,2030,price-conditional,yes,3000000,11722.82895,0.1623775027273647149333729175,487132.5081820941448001187525,20,234456.579,721589.0871820941448001187525,61.55417691922342215870331815,0,0.05,0.15,0,36079.45435910470724000593762,108238.3630773141217200178129,721589.0871820941448001187525,685509.6328229894375601128149,613350.7241047800230801009396,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_HIROHATA,Setouchi Works Hirohata Area,primary_current,primary,low,FY2024,1174548.179,Allocated,steel_eaf_efficiency,2030,price-conditional,yes,15250000,58727.40895,0.08376658046228803949091280824,1277440.352049892602236420326,-20,-1174548.179,102892.173049892602236420326,1.752029842445357913860770219,0,0.05,0.15,0,5144.6086524946301118210163,15433.8259574838903354630489,102892.173049892602236420326,97747.5643973979721245993097,87458.3470924087119009572771,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_HIROHATA,Setouchi Works Hirohata Area,primary_current,primary,base,FY2024,1381821.388,Allocated,steel_eaf_efficiency,2030,price-conditional,yes,30500000,138182.1388,0.1228254100208153991016925046,3746175.00563486967260162139,0,0,3746175.00563486967260162139,27.11041411116781521839942305,0,0.05,0.15,0,187308.7502817434836300810695,561926.2508452304508902432085,3746175.00563486967260162139,3558866.25535312618897154032,3184248.754789639221711378182,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
