company_id,company_name,country,sector,allocation_order,facility_id,facility_name,selected_route,decision_year,dependency_status,baseline_operational_ghg_tco2e,gross_modelled_operational_abatement_tco2e,physical_availability_ratio,physically_available_operational_abatement_tco2e,assigned_abatement_to_2050_gap_tco2e,assigned_transition_capex_usd_2025,assigned_annual_resource_gap_usd_2025,assigned_abatement_per_usd_million_capex,share_of_company_2050_required_reduction,project_evidence_status,capital_classification,production_coverage_ratio,emissions_coverage_ratio,currency,price_year,value_type,quality_flag,source_id,formula_or_method,boundary_note
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,9,JP_NSC_NAGOYA,Nagoya Works,steel_h2_dri_eaf,2040,contract-dependent,12391086.869,9293315.15175,1,9293315.15175,9293315.15175,4376000000,977486862.2464288467370799965,2123.700903050731261425959781,0.1242354128956754562450024406,route_capacity_not_project_verified,contract-dependent,1,1,USD,2025 screening proxy,allocated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,10,JP_NSC_YAWATA,Kyushu Works Yawata Area,steel_h2_dri_eaf,2040,contract-dependent,8381539.564,6286154.673,1,6286154.673,6286154.673,2960000000,661188553.9857196952334910397,2123.700903040540540540540541,0.08403492279923097366038156155,route_capacity_not_project_verified,contract-dependent,1,1,USD,2025 screening proxy,allocated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,11,JP_NSC_MURORAN,North Nippon Works Muroran Area,steel_h2_dri_eaf,2040,contract-dependent,2808948.394,2106711.2955,1,2106711.2955,2106711.2955,992000000,221587515.3708357897539267268,2123.700902721774193548387097,0.02816305520416366167956504187,route_capacity_not_project_verified,contract-dependent,1,1,USD,2025 screening proxy,allocated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,1,KR_LOTTE_YEOSU_BASIC,Yeosu Basic Materials Plant,petchem_electrified_cracker,2040,level-support-dependent,2591026,1295513,1,1295513,1295513,388653900,145791510.4939290614389553051,3333.333333333333333333333333,0.2593713663159466428621599131,route_capacity_not_project_verified,level-support-dependent,NA,0.9267086879300242255630614066,USD,2025 screening proxy,allocated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,2,KR_LOTTE_DAESAN,Daesan Plant,petchem_electrified_cracker,2040,level-support-dependent,1888682,944341,1,944341,944341,283302300,106272110.5935235414915361651,3333.333333333333333333333333,0.1890641123926717591155742586,route_capacity_not_project_verified,level-support-dependent,NA,0.9267086879300242255630614066,USD,2025 screening proxy,allocated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,3,KR_LOTTE_ULSAN,Ulsan Plant,petchem_electrified_cracker,2040,level-support-dependent,497434,248717,1,248717,248717,74615100,27989550.94662774852426231665,3333.333333333333333333333333,0.04979499867311505262606228351,route_capacity_not_project_verified,level-support-dependent,NA,0.9267086879300242255630614066,USD,2025 screening proxy,allocated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
MITSUI_CHEMICALS,"Mitsui Chemicals, Inc.",Japan,petrochemicals,1,JP_MCI_OMUTA,Omuta Works,petchem_electrified_cracker,2040,level-support-dependent,529434,264717,1,264717,264717,79415100,29790122.74166405073274905887,3333.333333333333333333333333,0.07356989803149934550062948666,route_capacity_not_project_verified,level-support-dependent,NA,0.9746285861979839751873869217,USD,2025 screening proxy,allocated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_ESG_2025|MCI_SHK_2023_CORP|MCI_SHK_2023_FAC|MCI_WEST_JAPAN_2026|MCI_WORKS_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
MITSUI_CHEMICALS,"Mitsui Chemicals, Inc.",Japan,petrochemicals,2,JP_MCI_ICHIHARA,Ichihara Works,petchem_electrified_cracker,2040,level-support-dependent,1206221,603110.5,1,603110.5,603110.5,180933150,67871484.72439010894447145923,3333.333333333333333333333333,0.1676158991932009882801535225,route_capacity_not_project_verified,level-support-dependent,NA,0.9746285861979839751873869217,USD,2025 screening proxy,allocated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_ESG_2025|MCI_SHK_2023_CORP|MCI_SHK_2023_FAC|MCI_WEST_JAPAN_2026|MCI_WORKS_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
MITSUI_CHEMICALS,"Mitsui Chemicals, Inc.",Japan,petrochemicals,3,JP_MCI_IWAKUNI,Iwakuni-Ohtake Works,petchem_electrified_cracker,2040,level-support-dependent,382794,191397,1,191397,191397,57419100,21539002.49091019586235856262,3333.333333333333333333333333,0.0531928730437972636090012423,route_capacity_not_project_verified,level-support-dependent,NA,0.9746285861979839751873869217,USD,2025 screening proxy,allocated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_ESG_2025|MCI_SHK_2023_CORP|MCI_SHK_2023_FAC|MCI_WEST_JAPAN_2026|MCI_WORKS_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
MITSUI_CHEMICALS,"Mitsui Chemicals, Inc.",Japan,petrochemicals,4,JP_MCI_OSAKA,Osaka Works,petchem_electrified_cracker,2040,level-support-dependent,1652389,826194.5,1,826194.5,826194.5,247858350,92976407.11963251156184998441,3333.333333333333333333333333,0.2296151932788056150765528032,route_capacity_not_project_verified,level-support-dependent,NA,0.9746285861979839751873869217,USD,2025 screening proxy,allocated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_ESG_2025|MCI_SHK_2023_CORP|MCI_SHK_2023_FAC|MCI_WEST_JAPAN_2026|MCI_WORKS_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
