"assumption_id","sector","route_id","route_name","geography","applicability","parameter_name","model_input_role","unit","low","base","high","value_type","case_type","base_year","price_year","currency","formula_or_method","source_id","source_url","source_location","quality_flag","boundary_note"
"PC_NAPHTHA_FOPEX","petrochemicals","petchem_naphtha_cracker_incumbent","Naphtha steam cracker incumbent","Global benchmark","High-value chemicals benchmark","fixed_opex_fraction_of_capex","incumbent_om_proxy","fraction",0.025,0.0375,0.050,"Derived","published range plus midpoint","2017","2017","USD","Low/high are IEA published 2.5-5.0%; base is arithmetic midpoint","IEA_PETCHEM_COST_2018","https://www.iea.org/data-and-statistics/charts/simplified-levelised-cost-of-petrochemicals-for-selected-feedstocks-and-regions-2017","chart notes","B","Fixed OPEX excludes feedstock and fuel."
"PC_NAPHTHA_LIFE","petrochemicals","petchem_naphtha_cracker_incumbent","Naphtha steam cracker incumbent","Global benchmark","High-value chemicals benchmark","technical_lifetime_years","incumbent_lifetime_years","year",25,25,25,"Reported","published point","2017","not_applicable","not_applicable","IEA assumes a 25-year design life","IEA_PETCHEM_COST_2018","https://www.iea.org/data-and-statistics/charts/simplified-levelised-cost-of-petrochemicals-for-selected-feedstocks-and-regions-2017","chart notes","B","Model lifetime assumption, not the observed age of any sample cracker."
"PC_NAPHTHA_ENERGY","petrochemicals","petchem_naphtha_cracker_incumbent","Naphtha steam cracker incumbent","Global benchmark","High-value chemicals benchmark","process_energy_intensity","incumbent_energy_quantity_proxy","GJ/tHVC",12,15.5,19,"Derived","published range plus midpoint","2017","not_applicable","not_applicable","Low/high are IEA published 12-19 GJ/tHVC; base is arithmetic midpoint","IEA_PETCHEM_COST_2018","https://www.iea.org/data-and-statistics/charts/simplified-levelised-cost-of-petrochemicals-for-selected-feedstocks-and-regions-2017","chart notes","B","Net process energy using available product fuel gas as described by the source."
"PC_ECRACKER_CAPEX_FRACTION","petrochemicals","petchem_electrified_cracker","Electrified steam cracking retrofit","Korea and Japan screening","Existing integrated crackers","incremental_capex_fraction_of_new_naphtha_cracker","transition_capex_proxy","fraction",0.15,0.30,0.50,"Estimated","analyst engineering stress range","2026","not_applicable","not_applicable","Analyst retrofit fraction applied to the IEA new-cracker CAPEX benchmark; replace with project data","IEA_CTG_2026","https://www.iea.org/data-and-statistics/data-tools/etp-clean-energy-technology-guide","Chemicals technology screening","D","Placeholder for output-first modelling; does not represent a published IEA cost range."
"PC_ECRACKER_CAPEX","petrochemicals","petchem_electrified_cracker","Electrified steam cracking retrofit","Korea and Japan screening","Existing integrated crackers","incremental_capex_per_annual_capacity","transition_capex_proxy","USD/tHVC-year",307.5,615,1025,"Estimated","formula-derived from estimated fraction","2026","2017","USD","Case-wise PC_NAPHTHA_CAPEX base (2050) multiplied by PC_ECRACKER_CAPEX_FRACTION low/base/high","IEA_PETCHEM_COST_2018|IEA_CTG_2026","https://www.iea.org/data-and-statistics/charts/simplified-levelised-cost-of-petrochemicals-for-selected-feedstocks-and-regions-2017","analyst transformation","D","Still in 2017 USD; inflate and localise before monetary aggregation."
"PC_ECRACKER_ABATEMENT","petrochemicals","petchem_electrified_cracker","Electrified steam cracking retrofit","Korea and Japan screening","Existing integrated crackers","scope1_2_emissions_reduction_fraction","transition_emissions_proxy","fraction",0.30,0.50,0.70,"Estimated","analyst engineering stress range","2026","not_applicable","not_applicable","Analyst range for electrified process heat; achieved Scope 1+2 depends on furnace coverage and power carbon intensity","IEA_CTG_2026","https://www.iea.org/data-and-statistics/data-tools/etp-clean-energy-technology-guide","Chemicals technology screening","D","Does not include feedstock carbon, downstream use or end-of-life emissions."
"PC_ECRACKER_AVAILABILITY","petrochemicals","petchem_electrified_cracker","Electrified steam cracking retrofit","Korea and Japan screening","Existing integrated crackers","earliest_commercial_availability_year","physical_constraint","year",2030,2035,2040,"Estimated","timing stress range","2026","not_applicable","not_applicable","Analyst timing range anchored to IEA technology-development screening; project-specific readiness required","IEA_CTG_2026","https://www.iea.org/data-and-statistics/data-tools/etp-clean-energy-technology-guide","Chemicals technology screening","D","Route identity is source-backed; dates are analyst assumptions."
"PC_MCI_WJ_INVESTMENT","petrochemicals","petchem_west_japan_consolidation","Western Japan cracker consolidation and process transition","Japan","Named multi-company western Japan project","total_project_investment","project_specific_capex","JPY",21200000000,21200000000,21200000000,"Reported","project point","2026","2026_nominal_announcement","JPY","Official joint release project scale","MCI_WEST_JAPAN_2026","https://jp.mitsuichemicals.com/en/release/2026/2026_0127_2/index.htm","Outline of HtA Support Program","A","Multi-company project amount; never attribute 100% to Mitsui without JV/offtake allocation."
"PC_MCI_WJ_SUBSIDY","petrochemicals","petchem_west_japan_consolidation","Western Japan cracker consolidation and process transition","Japan","Named multi-company western Japan project","maximum_subsidy_application","verified_support_ceiling","JPY",10400000000,10400000000,10400000000,"Reported","application ceiling","2026","2026_nominal_announcement","JPY","Official maximum subsidy application amount","MCI_WEST_JAPAN_2026","https://jp.mitsuichemicals.com/en/release/2026/2026_0127_2/index.htm","Outline of HtA Support Program","A","Application maximum is not realised cash support; model as ceiling until award/payment evidence is available."
"PC_MCI_WJ_ABATEMENT","petrochemicals","petchem_west_japan_consolidation","Western Japan cracker consolidation and process transition","Japan","Named multi-company western Japan project","expected_scope1_2_abatement","project_specific_abatement","tCO2/year",506000,506000,506000,"Reported","project expectation","2026","not_applicable","not_applicable","Official expected structural-transition Scope 1+2 reduction","MCI_WEST_JAPAN_2026","https://jp.mitsuichemicals.com/en/release/2026/2026_0127_2/index.htm","Outline of HtA Support Program","A","Compared with FY2023 Osaka and FY2024 Mizushima; not yet achieved or third-party verified."
"PC_MCI_WJ_CAPACITY_BEFORE","petrochemicals","petchem_west_japan_consolidation","Western Japan cracker consolidation and process transition","Japan","Named multi-company western Japan project","ethylene_capacity_before","project_specific_capacity","t ethylene/year",951000,951000,951000,"Reported","project point","2026","not_applicable","not_applicable","Official pre-consolidation capacity with maintenance turnaround","MCI_WEST_JAPAN_2026","https://jp.mitsuichemicals.com/en/release/2026/2026_0127_2/index.htm","Integration of ethylene production facilities","A","Combined AMEC and OPC capacity; not Mitsui-owned capacity alone."
"PC_MCI_WJ_CAPACITY_AFTER","petrochemicals","petchem_west_japan_consolidation","Western Japan cracker consolidation and process transition","Japan","Named multi-company western Japan project","ethylene_capacity_after","project_specific_capacity","t ethylene/year",455000,455000,455000,"Reported","project point","2026","not_applicable","not_applicable","Official post-consolidation capacity with maintenance turnaround","MCI_WEST_JAPAN_2026","https://jp.mitsuichemicals.com/en/release/2026/2026_0127_2/index.htm","Integration of ethylene production facilities","A","Combined operating framework; ownership ratio to follow offtake volumes."
"PC_MCI_WJ_CAPACITY_REDUCTION","petrochemicals","petchem_west_japan_consolidation","Western Japan cracker consolidation and process transition","Japan","Named multi-company western Japan project","ethylene_capacity_reduction","project_specific_capacity","t ethylene/year",496000,496000,496000,"Derived","deterministic difference","2026","not_applicable","not_applicable","951000 minus 455000","MCI_WEST_JAPAN_2026","https://jp.mitsuichemicals.com/en/release/2026/2026_0127_2/index.htm","derived from official capacities","A","Capacity reduction is not system abatement; displaced production and imports must be modelled."
"PC_MCI_WJ_CAPEX_ABATEMENT","petrochemicals","petchem_west_japan_consolidation","Western Japan cracker consolidation and process transition","Japan","Named multi-company western Japan project","capex_per_annual_tco2_expected_abatement","validation_metric","JPY/(tCO2/year)",41897.233201581,41897.233201581,41897.233201581,"Derived","deterministic ratio","2026","2026_nominal_announcement","JPY","21200000000 divided by 506000","MCI_WEST_JAPAN_2026","https://jp.mitsuichemicals.com/en/release/2026/2026_0127_2/index.htm","derived from official project values","A","Validation ratio only; combines structural and process-transition investment and expected reduction."
"PC_MCI_WJ_SUPPORT_SHARE","petrochemicals","petchem_west_japan_consolidation","Western Japan cracker consolidation and process transition","Japan","Named multi-company western Japan project","maximum_subsidy_share_of_project_investment","support_dependency_ceiling","fraction",0.490566,0.490566,0.490566,"Derived","deterministic ratio","2026","not_applicable","not_applicable","10400000000 divided by 21200000000","MCI_WEST_JAPAN_2026","https://jp.mitsuichemicals.com/en/release/2026/2026_0127_2/index.htm","derived from official project values","A","Maximum application share, not realised support or public-cost attribution."
"PC_MCI_WJ_COMPLETION","petrochemicals","petchem_west_japan_consolidation","Western Japan cracker consolidation and process transition","Japan","Named multi-company western Japan project","scheduled_completion_year","decision_timing","year",2029,2029,2029,"Reported","project schedule","2026","not_applicable","not_applicable","Official schedule states completion by end FY2029","MCI_WEST_JAPAN_2026","https://jp.mitsuichemicals.com/en/release/2026/2026_0127_2/index.htm","Outline of HtA Support Program","A","Schedule target, not actual completion."
"PC_MCI_WJ_OPTIMISATION","petrochemicals","petchem_west_japan_consolidation","Western Japan cracker consolidation and process transition","Japan","Named multi-company western Japan project","production_optimisation_target_year","decision_timing","year",2030,2030,2030,"Reported","project schedule","2026","not_applicable","not_applicable","Official release targets FY2030 production optimisation","MCI_WEST_JAPAN_2026","https://jp.mitsuichemicals.com/en/release/2026/2026_0127_2/index.htm","Integration of ethylene production facilities","A","Target timing; operational outcome requires later verification."
