param_id,model,group,entity,field,value,unit,evidence_tier,value_low,value_high,source_id,vintage,used_in,needs_range
FIN.facility.MCI_ICH_CR.capacity,FIN,facility,MCI_ICH_CR,capacity,553000.0,t/yr,T2,,,MCI_RELEASES+JPCA_CAPACITY_2024,,E2 capex·retire scale,False
FIN.facility.MCI_ICH_CR.incumbent_capex_unit,FIN,facility,MCI_ICH_CR,incumbent_capex_unit,150.0,천원/t능력,T2,,,MCI_RELEASES+JPCA_CAPACITY_2024,,E2 stranded_cost_k,False
FIN.facility.MCI_ICH_CR.margin_kthou_t,FIN,facility,MCI_ICH_CR,margin_kthou_t,290.0,천원/t,T2,,,MCI_RELEASES+JPCA_CAPACITY_2024,,E2 retire_terms,False
FIN.facility.MCI_ICH_CR.next_reinvest_year,FIN,facility,MCI_ICH_CR,next_reinvest_year,2027.0,year,T2,,,MCI_RELEASES+JPCA_CAPACITY_2024,,E2 stranded_cost_k,False
FIN.facility.MCI_ICH_CR.reinvest_cycle_yr,FIN,facility,MCI_ICH_CR,reinvest_cycle_yr,4.0,yr,T2,,,MCI_RELEASES+JPCA_CAPACITY_2024,,E2 stranded_cost_k,False
FIN.facility.MCI_OSK_CR.capacity,FIN,facility,MCI_OSK_CR,capacity,455000.0,t/yr,T2,,,MCI_RELEASES+JPCA_CAPACITY_2024,,E2 capex·retire scale,False
FIN.facility.MCI_OSK_CR.incumbent_capex_unit,FIN,facility,MCI_OSK_CR,incumbent_capex_unit,150.0,천원/t능력,T2,,,MCI_RELEASES+JPCA_CAPACITY_2024,,E2 stranded_cost_k,False
FIN.facility.MCI_OSK_CR.margin_kthou_t,FIN,facility,MCI_OSK_CR,margin_kthou_t,290.0,천원/t,T2,,,MCI_RELEASES+JPCA_CAPACITY_2024,,E2 retire_terms,False
FIN.facility.MCI_OSK_CR.next_reinvest_year,FIN,facility,MCI_OSK_CR,next_reinvest_year,2028.0,year,T2,,,MCI_RELEASES+JPCA_CAPACITY_2024,,E2 stranded_cost_k,False
FIN.facility.MCI_OSK_CR.reinvest_cycle_yr,FIN,facility,MCI_OSK_CR,reinvest_cycle_yr,4.0,yr,T2,,,MCI_RELEASES+JPCA_CAPACITY_2024,,E2 stranded_cost_k,False
FIN.facility.NSC_KAS_BF1.capacity,FIN,facility,NSC_KAS_BF1,capacity,4904600.0,t/yr,T2,,,NSC_DATABOOK_2025,,E2 capex·retire scale,False
FIN.facility.NSC_KAS_BF1.incumbent_capex_unit,FIN,facility,NSC_KAS_BF1,incumbent_capex_unit,200.0,천원/t능력,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_KAS_BF1.margin_kthou_t,FIN,facility,NSC_KAS_BF1,margin_kthou_t,70.0,천원/t,T2,,,NSC_DATABOOK_2025,,E2 retire_terms,False
FIN.facility.NSC_KAS_BF1.next_reinvest_year,FIN,facility,NSC_KAS_BF1,next_reinvest_year,2027.0,year,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_KAS_BF1.reinvest_cycle_yr,FIN,facility,NSC_KAS_BF1,reinvest_cycle_yr,20.0,yr,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_KIM_BF2.capacity,FIN,facility,NSC_KIM_BF2,capacity,4110000.0,t/yr,T2,,,NSC_DATABOOK_2025,,E2 capex·retire scale,False
FIN.facility.NSC_KIM_BF2.incumbent_capex_unit,FIN,facility,NSC_KIM_BF2,incumbent_capex_unit,200.0,천원/t능력,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_KIM_BF2.margin_kthou_t,FIN,facility,NSC_KIM_BF2,margin_kthou_t,70.0,천원/t,T2,,,NSC_DATABOOK_2025,,E2 retire_terms,False
FIN.facility.NSC_KIM_BF2.next_reinvest_year,FIN,facility,NSC_KIM_BF2,next_reinvest_year,2032.0,year,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_KIM_BF2.reinvest_cycle_yr,FIN,facility,NSC_KIM_BF2,reinvest_cycle_yr,20.0,yr,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_KIM_BF4.capacity,FIN,facility,NSC_KIM_BF4,capacity,5073566.666666667,t/yr,T2,,,NSC_DATABOOK_2025,,E2 capex·retire scale,False
FIN.facility.NSC_KIM_BF4.incumbent_capex_unit,FIN,facility,NSC_KIM_BF4,incumbent_capex_unit,200.0,천원/t능력,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_KIM_BF4.margin_kthou_t,FIN,facility,NSC_KIM_BF4,margin_kthou_t,70.0,천원/t,T2,,,NSC_DATABOOK_2025,,E2 retire_terms,False
FIN.facility.NSC_KIM_BF4.next_reinvest_year,FIN,facility,NSC_KIM_BF4,next_reinvest_year,2027.0,year,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_KIM_BF4.reinvest_cycle_yr,FIN,facility,NSC_KIM_BF4,reinvest_cycle_yr,20.0,yr,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_MUR_BF2.capacity,FIN,facility,NSC_MUR_BF2,capacity,2752786.666666667,t/yr,T2,,,NSC_DATABOOK_2025,,E2 capex·retire scale,False
FIN.facility.NSC_MUR_BF2.incumbent_capex_unit,FIN,facility,NSC_MUR_BF2,incumbent_capex_unit,200.0,천원/t능력,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_MUR_BF2.margin_kthou_t,FIN,facility,NSC_MUR_BF2,margin_kthou_t,70.0,천원/t,T2,,,NSC_DATABOOK_2025,,E2 retire_terms,False
FIN.facility.NSC_MUR_BF2.next_reinvest_year,FIN,facility,NSC_MUR_BF2,next_reinvest_year,2040.0,year,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_MUR_BF2.reinvest_cycle_yr,FIN,facility,NSC_MUR_BF2,reinvest_cycle_yr,20.0,yr,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_NGO_BF1.capacity,FIN,facility,NSC_NGO_BF1,capacity,4971273.333333334,t/yr,T2,,,NSC_DATABOOK_2025,,E2 capex·retire scale,False
FIN.facility.NSC_NGO_BF1.incumbent_capex_unit,FIN,facility,NSC_NGO_BF1,incumbent_capex_unit,200.0,천원/t능력,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_NGO_BF1.margin_kthou_t,FIN,facility,NSC_NGO_BF1,margin_kthou_t,70.0,천원/t,T2,,,NSC_DATABOOK_2025,,E2 retire_terms,False
FIN.facility.NSC_NGO_BF1.next_reinvest_year,FIN,facility,NSC_NGO_BF1,next_reinvest_year,2027.0,year,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_NGO_BF1.reinvest_cycle_yr,FIN,facility,NSC_NGO_BF1,reinvest_cycle_yr,20.0,yr,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_NGO_BF3.capacity,FIN,facility,NSC_NGO_BF3,capacity,4041500.0,t/yr,T2,,,NSC_DATABOOK_2025,,E2 capex·retire scale,False
FIN.facility.NSC_NGO_BF3.incumbent_capex_unit,FIN,facility,NSC_NGO_BF3,incumbent_capex_unit,200.0,천원/t능력,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_NGO_BF3.margin_kthou_t,FIN,facility,NSC_NGO_BF3,margin_kthou_t,70.0,천원/t,T2,,,NSC_DATABOOK_2025,,E2 retire_terms,False
FIN.facility.NSC_NGO_BF3.next_reinvest_year,FIN,facility,NSC_NGO_BF3,next_reinvest_year,2042.0,year,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_NGO_BF3.reinvest_cycle_yr,FIN,facility,NSC_NGO_BF3,reinvest_cycle_yr,20.0,yr,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_OIT_BF1.capacity,FIN,facility,NSC_OIT_BF1,capacity,5274500.0,t/yr,T2,,,NSC_DATABOOK_2025,,E2 capex·retire scale,False
FIN.facility.NSC_OIT_BF1.incumbent_capex_unit,FIN,facility,NSC_OIT_BF1,incumbent_capex_unit,200.0,천원/t능력,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_OIT_BF1.margin_kthou_t,FIN,facility,NSC_OIT_BF1,margin_kthou_t,70.0,천원/t,T2,,,NSC_DATABOOK_2025,,E2 retire_terms,False
FIN.facility.NSC_OIT_BF1.next_reinvest_year,FIN,facility,NSC_OIT_BF1,next_reinvest_year,2029.0,year,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_OIT_BF1.reinvest_cycle_yr,FIN,facility,NSC_OIT_BF1,reinvest_cycle_yr,20.0,yr,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_OIT_BF2.capacity,FIN,facility,NSC_OIT_BF2,capacity,5274500.0,t/yr,T2,,,NSC_DATABOOK_2025,,E2 capex·retire scale,False
FIN.facility.NSC_OIT_BF2.incumbent_capex_unit,FIN,facility,NSC_OIT_BF2,incumbent_capex_unit,200.0,천원/t능력,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_OIT_BF2.margin_kthou_t,FIN,facility,NSC_OIT_BF2,margin_kthou_t,70.0,천원/t,T2,,,NSC_DATABOOK_2025,,E2 retire_terms,False
FIN.facility.NSC_OIT_BF2.next_reinvest_year,FIN,facility,NSC_OIT_BF2,next_reinvest_year,2027.0,year,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_OIT_BF2.reinvest_cycle_yr,FIN,facility,NSC_OIT_BF2,reinvest_cycle_yr,20.0,yr,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_TOB_BF4.capacity,FIN,facility,NSC_TOB_BF4,capacity,4566666.666666667,t/yr,T2,,,NSC_PR_20250530,,E2 capex·retire scale,False
FIN.facility.NSC_TOB_BF4.incumbent_capex_unit,FIN,facility,NSC_TOB_BF4,incumbent_capex_unit,200.0,천원/t능력,T2,,,NSC_PR_20250530,,E2 stranded_cost_k,False
FIN.facility.NSC_TOB_BF4.margin_kthou_t,FIN,facility,NSC_TOB_BF4,margin_kthou_t,70.0,천원/t,T2,,,NSC_PR_20250530,,E2 retire_terms,False
FIN.facility.NSC_TOB_BF4.next_reinvest_year,FIN,facility,NSC_TOB_BF4,next_reinvest_year,2029.0,year,T2,,,NSC_PR_20250530,,E2 stranded_cost_k,False
FIN.facility.NSC_TOB_BF4.reinvest_cycle_yr,FIN,facility,NSC_TOB_BF4,reinvest_cycle_yr,20.0,yr,T2,,,NSC_PR_20250530,,E2 stranded_cost_k,False
FIN.facility.NSC_WAK_BF2.capacity,FIN,facility,NSC_WAK_BF2,capacity,3379333.3333333335,t/yr,T2,,,NSC_DATABOOK_2025,,E2 capex·retire scale,False
FIN.facility.NSC_WAK_BF2.incumbent_capex_unit,FIN,facility,NSC_WAK_BF2,incumbent_capex_unit,200.0,천원/t능력,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_WAK_BF2.margin_kthou_t,FIN,facility,NSC_WAK_BF2,margin_kthou_t,70.0,천원/t,T2,,,NSC_DATABOOK_2025,,E2 retire_terms,False
FIN.facility.NSC_WAK_BF2.next_reinvest_year,FIN,facility,NSC_WAK_BF2,next_reinvest_year,2039.0,year,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.NSC_WAK_BF2.reinvest_cycle_yr,FIN,facility,NSC_WAK_BF2,reinvest_cycle_yr,20.0,yr,T2,,,NSC_DATABOOK_2025,,E2 stranded_cost_k,False
FIN.facility.POSCO_GWY_EAF1.capacity,FIN,facility,POSCO_GWY_EAF1,capacity,2500000.0,t/yr,T2,,,POSCO_GY_EAF,,E2 capex·retire scale,False
FIN.facility.POSCO_GWY_EAF1.incumbent_capex_unit,FIN,facility,POSCO_GWY_EAF1,incumbent_capex_unit,250.0,천원/t능력,T2,,,POSCO_GY_EAF,,E2 stranded_cost_k,False
FIN.facility.POSCO_GWY_EAF1.margin_kthou_t,FIN,facility,POSCO_GWY_EAF1,margin_kthou_t,70.0,천원/t,T2,,,POSCO_GY_EAF,,E2 retire_terms,False
FIN.facility.POSCO_GWY_EAF1.next_reinvest_year,FIN,facility,POSCO_GWY_EAF1,next_reinvest_year,2046.0,year,T2,,,POSCO_GY_EAF,,E2 stranded_cost_k,False
FIN.facility.POSCO_GWY_EAF1.reinvest_cycle_yr,FIN,facility,POSCO_GWY_EAF1,reinvest_cycle_yr,20.0,yr,T2,,,POSCO_GY_EAF,,E2 stranded_cost_k,False
FIN.facility.POSCO_POH_BF2.capacity,FIN,facility,POSCO_POH_BF2,capacity,2329000.0,t/yr,T2,,,POSCO_NEWSROOM_BF2,,E2 capex·retire scale,False
FIN.facility.POSCO_POH_BF2.incumbent_capex_unit,FIN,facility,POSCO_POH_BF2,incumbent_capex_unit,200.0,천원/t능력,T2,,,POSCO_NEWSROOM_BF2,,E2 stranded_cost_k,False
FIN.facility.POSCO_POH_BF2.margin_kthou_t,FIN,facility,POSCO_POH_BF2,margin_kthou_t,70.0,천원/t,T2,,,POSCO_NEWSROOM_BF2,,E2 retire_terms,False
FIN.facility.POSCO_POH_BF2.next_reinvest_year,FIN,facility,POSCO_POH_BF2,next_reinvest_year,2030.0,year,T2,,,POSCO_NEWSROOM_BF2,,E2 stranded_cost_k,False
FIN.facility.POSCO_POH_BF2.reinvest_cycle_yr,FIN,facility,POSCO_POH_BF2,reinvest_cycle_yr,15.0,yr,T2,,,POSCO_NEWSROOM_BF2,,E2 stranded_cost_k,False
FIN.technology.petchem_ecracker.avail_year,FIN,technology,petchem_ecracker,avail_year,2030,year,T2,,,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),,,False
FIN.technology.petchem_ecracker.build_years,FIN,technology,petchem_ecracker,build_years,2,yr,T2,,,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),,,False
FIN.technology.petchem_ecracker.capex_uncertainty,FIN,technology,petchem_ecracker,capex_uncertainty,40,%,T2,,,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),,,False
FIN.technology.petchem_ecracker.capex_unit,FIN,technology,petchem_ecracker,capex_unit,608.0,천원/t능력,T2,,,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),,E2/plancost capex,False
FIN.technology.petchem_ecracker.elec_intensity,FIN,technology,petchem_ecracker,elec_intensity,2.8,MWh/t,T2,,,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),,energy cost + TCaR elec,False
FIN.technology.petchem_ecracker.emission_factor,FIN,technology,petchem_ecracker,emission_factor,0.1,tCO2/t,T2,,,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),,budget + carbon cost,False
FIN.technology.petchem_ecracker.h2_intensity,FIN,technology,petchem_ecracker,h2_intensity,0.0,kg/t,T2,,,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),,energy cost + TCaR h2,False
FIN.technology.petchem_ecracker.lifetime,FIN,technology,petchem_ecracker,lifetime,25,yr,T2,,,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),,,False
FIN.technology.petchem_ecracker.opex_fixed,FIN,technology,petchem_ecracker,opex_fixed,18.0,천원/t능력/yr,T2,,,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),,,False
FIN.technology.petchem_ecracker.opex_var,FIN,technology,petchem_ecracker,opex_var,20.0,천원/t,T2,,,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),,,False
FIN.technology.petchem_ecracker_hybrid.avail_year,FIN,technology,petchem_ecracker_hybrid,avail_year,2027,year,T2,,,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",,,False
FIN.technology.petchem_ecracker_hybrid.build_years,FIN,technology,petchem_ecracker_hybrid,build_years,2,yr,T2,,,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",,,False
FIN.technology.petchem_ecracker_hybrid.capex_uncertainty,FIN,technology,petchem_ecracker_hybrid,capex_uncertainty,40,%,T2,,,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",,,False
FIN.technology.petchem_ecracker_hybrid.capex_unit,FIN,technology,petchem_ecracker_hybrid,capex_unit,270.0,천원/t능력,T2,,,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",,E2/plancost capex,False
FIN.technology.petchem_ecracker_hybrid.elec_intensity,FIN,technology,petchem_ecracker_hybrid,elec_intensity,1.0,MWh/t,T2,,,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",,energy cost + TCaR elec,False
FIN.technology.petchem_ecracker_hybrid.emission_factor,FIN,technology,petchem_ecracker_hybrid,emission_factor,0.65,tCO2/t,T2,,,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",,budget + carbon cost,False
FIN.technology.petchem_ecracker_hybrid.h2_intensity,FIN,technology,petchem_ecracker_hybrid,h2_intensity,0.0,kg/t,T2,,,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",,energy cost + TCaR h2,False
FIN.technology.petchem_ecracker_hybrid.lifetime,FIN,technology,petchem_ecracker_hybrid,lifetime,25,yr,T2,,,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",,,False
FIN.technology.petchem_ecracker_hybrid.opex_fixed,FIN,technology,petchem_ecracker_hybrid,opex_fixed,8.0,천원/t능력/yr,T2,,,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",,,False
FIN.technology.petchem_ecracker_hybrid.opex_var,FIN,technology,petchem_ecracker_hybrid,opex_var,10.0,천원/t,T2,,,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",,,False
FIN.technology.steel_eaf.avail_year,FIN,technology,steel_eaf,avail_year,2024,year,T2,,,POSCO_GY_EAF,,,False
FIN.technology.steel_eaf.build_years,FIN,technology,steel_eaf,build_years,3,yr,T2,,,POSCO_GY_EAF,,,False
FIN.technology.steel_eaf.capex_uncertainty,FIN,technology,steel_eaf,capex_uncertainty,60,%,T2,,,POSCO_GY_EAF,,,False
FIN.technology.steel_eaf.capex_unit,FIN,technology,steel_eaf,capex_unit,240.0,천원/t능력,T2,370.0,835.0,POSCO_GY_EAF,,E2/plancost capex,False
FIN.technology.steel_eaf.elec_intensity,FIN,technology,steel_eaf,elec_intensity,0.667,MWh/t,T2,,,POSCO_GY_EAF,,energy cost + TCaR elec,False
FIN.technology.steel_eaf.emission_factor,FIN,technology,steel_eaf,emission_factor,0.05,tCO2/t,T2,0.04,0.05,POSCO_GY_EAF,,budget + carbon cost,False
FIN.technology.steel_eaf.h2_intensity,FIN,technology,steel_eaf,h2_intensity,0.0,kg/t,T2,,,POSCO_GY_EAF,,energy cost + TCaR h2,False
FIN.technology.steel_eaf.lifetime,FIN,technology,steel_eaf,lifetime,20,yr,T2,,,POSCO_GY_EAF,,,False
FIN.technology.steel_eaf.opex_fixed,FIN,technology,steel_eaf,opex_fixed,0.0,천원/t능력/yr,T2,,,POSCO_GY_EAF,,,False
FIN.technology.steel_eaf.opex_var,FIN,technology,steel_eaf,opex_var,0.0,천원/t,T2,,,POSCO_GY_EAF,,,False
FIN.technology.steel_h2inj.avail_year,FIN,technology,steel_h2inj,avail_year,2030,year,T2,,,NSC_SCOURSE50_2024,,,False
FIN.technology.steel_h2inj.build_years,FIN,technology,steel_h2inj,build_years,2,yr,T2,,,NSC_SCOURSE50_2024,,,False
FIN.technology.steel_h2inj.capex_uncertainty,FIN,technology,steel_h2inj,capex_uncertainty,50,%,T2,,,NSC_SCOURSE50_2024,,,False
FIN.technology.steel_h2inj.capex_unit,FIN,technology,steel_h2inj,capex_unit,54.0,천원/t능력,T2,,,NSC_SCOURSE50_2024,,E2/plancost capex,False
FIN.technology.steel_h2inj.elec_intensity,FIN,technology,steel_h2inj,elec_intensity,0.05,MWh/t,T2,,,NSC_SCOURSE50_2024,,energy cost + TCaR elec,False
FIN.technology.steel_h2inj.emission_factor,FIN,technology,steel_h2inj,emission_factor,1.72,tCO2/t,T2,,,NSC_SCOURSE50_2024,,budget + carbon cost,False
FIN.technology.steel_h2inj.h2_intensity,FIN,technology,steel_h2inj,h2_intensity,28.0,kg/t,T2,,,NSC_SCOURSE50_2024,,energy cost + TCaR h2,False
FIN.technology.steel_h2inj.lifetime,FIN,technology,steel_h2inj,lifetime,20,yr,T2,,,NSC_SCOURSE50_2024,,,False
FIN.technology.steel_h2inj.opex_fixed,FIN,technology,steel_h2inj,opex_fixed,1.0,천원/t능력/yr,T2,,,NSC_SCOURSE50_2024,,,False
FIN.technology.steel_h2inj.opex_var,FIN,technology,steel_h2inj,opex_var,5.0,천원/t,T2,,,NSC_SCOURSE50_2024,,,False
FIN.technology.steel_hbi.avail_year,FIN,technology,steel_hbi,avail_year,2025,year,T2,,,KOBELCO_HBI_BF (30% 장입 blended),,,False
FIN.technology.steel_hbi.build_years,FIN,technology,steel_hbi,build_years,1,yr,T2,,,KOBELCO_HBI_BF (30% 장입 blended),,,False
FIN.technology.steel_hbi.capex_uncertainty,FIN,technology,steel_hbi,capex_uncertainty,30,%,T2,,,KOBELCO_HBI_BF (30% 장입 blended),,,False
FIN.technology.steel_hbi.capex_unit,FIN,technology,steel_hbi,capex_unit,20.0,천원/t능력,T2,,,KOBELCO_HBI_BF (30% 장입 blended),,E2/plancost capex,False
FIN.technology.steel_hbi.elec_intensity,FIN,technology,steel_hbi,elec_intensity,0.0,MWh/t,T2,,,KOBELCO_HBI_BF (30% 장입 blended),,energy cost + TCaR elec,False
FIN.technology.steel_hbi.emission_factor,FIN,technology,steel_hbi,emission_factor,1.72,tCO2/t,T2,,,KOBELCO_HBI_BF (30% 장입 blended),,budget + carbon cost,False
FIN.technology.steel_hbi.h2_intensity,FIN,technology,steel_hbi,h2_intensity,0.0,kg/t,T2,,,KOBELCO_HBI_BF (30% 장입 blended),,energy cost + TCaR h2,False
FIN.technology.steel_hbi.lifetime,FIN,technology,steel_hbi,lifetime,20,yr,T2,,,KOBELCO_HBI_BF (30% 장입 blended),,,False
FIN.technology.steel_hbi.opex_fixed,FIN,technology,steel_hbi,opex_fixed,0.5,천원/t능력/yr,T2,,,KOBELCO_HBI_BF (30% 장입 blended),,,False
FIN.technology.steel_hbi.opex_var,FIN,technology,steel_hbi,opex_var,62.0,천원/t,T2,,,KOBELCO_HBI_BF (30% 장입 blended),,,False
FIN.technology.steel_hyrex.avail_year,FIN,technology,steel_hyrex,avail_year,2035,year,T2,,,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",,,False
FIN.technology.steel_hyrex.build_years,FIN,technology,steel_hyrex,build_years,3,yr,T2,,,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",,,False
FIN.technology.steel_hyrex.capex_uncertainty,FIN,technology,steel_hyrex,capex_uncertainty,50,%,T2,,,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",,,False
FIN.technology.steel_hyrex.capex_unit,FIN,technology,steel_hyrex,capex_unit,863.0,천원/t능력,T2,,,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",,E2/plancost capex,False
FIN.technology.steel_hyrex.elec_intensity,FIN,technology,steel_hyrex,elec_intensity,0.85,MWh/t,T2,,,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",,energy cost + TCaR elec,False
FIN.technology.steel_hyrex.emission_factor,FIN,technology,steel_hyrex,emission_factor,0.05,tCO2/t,T2,,,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",,budget + carbon cost,False
FIN.technology.steel_hyrex.h2_intensity,FIN,technology,steel_hyrex,h2_intensity,51.0,kg/t,T2,,,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",,energy cost + TCaR h2,False
FIN.technology.steel_hyrex.lifetime,FIN,technology,steel_hyrex,lifetime,25,yr,T2,,,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",,,False
FIN.technology.steel_hyrex.opex_fixed,FIN,technology,steel_hyrex,opex_fixed,102.0,천원/t능력/yr,T2,,,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",,,False
FIN.technology.steel_hyrex.opex_var,FIN,technology,steel_hyrex,opex_var,39.0,천원/t,T2,,,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",,,False
FIN.price.NZ15_Korea_co2_price,FIN,price_path,NZ15/Korea,co2_price,9450→337500,KRW/tCO2,T3,,,"IEA_GECM_DOC_2025 (NZE adv., PREP 대체)",,"E1 central path, E2/E4 cost",False
