file,column,rows,filled,filled_pct,distinct,in_schema,engine_reference,verdict,note
D2b_scenario_prices,unit,224,224,100.0,4,True,True,ok,
D2b_scenario_prices,source_id,224,224,100.0,8,True,False,ok,"provenance (audited here, not modelled)"
D3_tech_options,tech_id,13,13,100.0,13,True,True,ok,
D3_tech_options,sector,13,13,100.0,2,True,True,ok,
D3_tech_options,applies_to_unit,13,13,100.0,4,True,True,ok,
D3_tech_options,capex_unit,13,13,100.0,11,True,True,ok,
D3_tech_options,opex_fixed,13,13,100.0,7,True,True,ok,
D3_tech_options,opex_var,13,13,100.0,9,True,True,ok,
D3_tech_options,elec_intensity,13,13,100.0,8,True,True,ok,
D3_tech_options,h2_intensity,13,13,100.0,4,True,True,ok,
D3_tech_options,emission_factor,13,13,100.0,11,True,True,ok,
D3_tech_options,avail_year,13,13,100.0,6,True,True,ok,
D3_tech_options,build_years,13,13,100.0,5,True,True,ok,
D3_tech_options,lifetime,13,13,100.0,3,True,True,ok,
D3_tech_options,capex_uncertainty,13,13,100.0,4,True,True,ok,
D3_tech_options,source_id,13,13,100.0,13,True,False,ok,"provenance (audited here, not modelled)"
D3_tech_options,retrofit,13,13,100.0,2,False,True,ok,
D4_price_history,date,99,99,100.0,43,True,True,ok,
D4_price_history,series_id,99,99,100.0,18,True,True,ok,
D4_price_history,value,99,99,100.0,98,True,True,ok,
D4_price_history,unit,99,99,100.0,19,True,True,ok,
D4_price_history,source_id,99,99,100.0,15,True,False,ok,"provenance (audited here, not modelled)"
D5_policy_support,support_scenario,7,7,100.0,1,True,True,설계상 정상,수집된 지원 시나리오가 `current` 하나뿐이라 전 행 동일한 것이 맞다. **확정된 직접 지원이 없다는 것 자체가 발견**이다(PREP_LOG D5).
D5_policy_support,instrument,7,7,100.0,4,True,True,ok,
D5_policy_support,tech_id,7,7,100.0,1,True,True,설계상 정상,수집된 정책이 전부 업종 전반(`all`) 적용이라 기술별 값이 없다 — 기술 특정 지원이 존재하지 않는다는 뜻.
D5_policy_support,param_type,7,7,100.0,3,True,False,설계상 정상,"**준비 단계에서 소비**된다 — `_instrument`가 이 값으로 유상할당/상한/하한을 분류하고, 엔진은 분류된 `instrument`를 읽는다."
D5_policy_support,value,7,7,100.0,6,True,True,ok,
D5_policy_support,unit,7,7,100.0,2,True,True,ok,
D5_policy_support,valid_from,7,7,100.0,2,True,True,ok,
D5_policy_support,valid_to,7,7,100.0,2,True,True,ok,
D5_policy_support,source_id,7,7,100.0,2,True,False,ok,"provenance (audited here, not modelled)"
D6_company_financials,company_id,22,22,100.0,4,True,True,ok,
D6_company_financials,year,22,22,100.0,6,True,True,ok,
D6_company_financials,revenue,22,21,95.5,21,True,True,PARTIAL,
D6_company_financials,ebitda,22,22,100.0,22,True,True,ok,
D6_company_financials,capex_total,22,11,50.0,11,True,True,PARTIAL,
D6_company_financials,total_debt,22,9,40.9,9,True,False,설계상 정상,`net_debt`(= total_debt − cash)가 지표 ⑥에 쓰이고 이 컬럼은 그 구성요소다. 검증·추적용으로 보존.
D6_company_financials,net_debt,22,9,40.9,9,True,True,PARTIAL,
D6_company_financials,interest_expense,22,2,9.1,2,True,False,설계상 정상,이자보상배율용이나 22행 중 2행만 공시돼 지표를 만들 수 없다. **공시 부재가 기록으로 남는 편이 낫다.**
D6_company_financials,cash,22,10,45.5,10,True,False,설계상 정상,위와 같음 — `net_debt`의 구성요소.
D6_company_financials,source_id,22,22,100.0,4,True,False,ok,"provenance (audited here, not modelled)"
D7_disclosed_plan,company_id,12,12,100.0,4,True,True,ok,
D7_disclosed_plan,item_type,12,12,100.0,3,True,True,ok,
D7_disclosed_plan,facility_id,12,8,66.7,7,True,True,설계상 정상,`target` 행(회사 전체 목표)은 시설이 없는 것이 정상이다. 채움률 67%는 결손이 아니라 행 종류 구성.
D7_disclosed_plan,tech_id,12,8,66.7,4,True,True,설계상 정상,위와 같음 — `target`·`timing` 행은 기술 특정이 없다.
D7_disclosed_plan,year_stated,12,12,100.0,6,True,True,ok,
D7_disclosed_plan,coverage_pct,12,0,0.0,0,True,True,설계상 정상,PPA·EPC 커버리지 비율용 컬럼. 현재 수집된 공시에 해당 항목이 없다 — 비어 있는 것이 곧 '그런 공시가 없다'는 발견.
D7_disclosed_plan,resolution,12,12,100.0,2,True,False,설계상 정상,공시 해상도 등급. 엔진 입력은 아니지만 **gap 미산출 사유 판정**의 근거이고 `disclosed_skipped.csv` 해석에 필요하다.
D7_disclosed_plan,source_id,12,12,100.0,5,True,False,ok,"provenance (audited here, not modelled)"
D7_disclosed_plan,quote,12,12,100.0,12,True,False,설계상 정상,공시 원문. 엔진이 읽지 않지만 **검증에서 결정적으로 쓰였다** — 미쓰이 설비집약 공시의 능력·감축량이 여기 있었고 그것으로 NCC 배출계수를 역산했다(H3 §4-1-a).
