"source_id","publisher","title","source_type","url_or_doi","publication_date","retrieved_at","reporting_start","reporting_end","location","licence","redistributable","file_name","sha256","extraction_method","quality_note"
"KR_NETZERO_2050","관계부처 합동/탄소중립녹색성장위원회","2050 탄소중립 시나리오 (2021.10)","policy","https://www.gihoo.or.kr/gallery.es?mid=a30202000000&bid=0010&act=view&list_no=551","2021-10-18","2026-08-06","2018-01-01","2050-12-31","산업 부문 표 (철강·석유화학 항목)","공공누리","conditional","","","HTML (web fetch)","철강 2018년 101.2 → 2050년 4.6 MtCO2eq(△95%, 수소환원 100% 가정). 석유화학·정유 62.8 → 16.9(△73%). 산업 전체 260.5 → 51.1(A/B안 공통). 직접배출 기준(전력간접은 전환부문 계상). 주의: 석유화학은 정유 합산 경계"
"KR_NDC_BASIC_2023","관계부처 합동","제1차 탄소중립·녹색성장 기본계획 (2023.4) — 산업부문 NDC 조정","policy","https://www.pcccr.go.kr/storage/board/base/2023/07/04/BOARD_ATTACH_1688433504249.pdf","2023-04-11","2026-08-06","2018-01-01","2030-12-31","산업부문 목표 (원문 PDF 미확인 — 스니펫 검증)","공공누리","conditional","","","search snippet","산업부문 2030년 230.7 MtCO2eq (2018년 260.5 대비 △11.4%, 기존 △14.5%에서 완화). 스니펫 확인 단계 — 원문 대조 필요. D2a 2030 추정에 산업 평균 감축률(-11.4%)로 사용"
"JISF_CNAP_2025","일본철강연맹(JISF)","Carbon Neutrality Action Plan (2025.2 영문판)","industry report","https://www.jisf.or.jp/en/activity/climate/documents/202502JISFs_Carbon_Neutrality_Action_Plan_final.pdf","2025-02-01","2026-08-06","2013-04-01","2024-03-31","pp.8, 11","JISF","conditional","","","PDF text (web fetch)","참여사 에너지기원 CO2: FY2013 194.43 → FY2023 148.35 Mt(▲23.7%). 업계 전체 FY2023 153.13 Mt. 2030 목표 FY2013 대비 ▲30%(절대수준 ≈136.1 Mt는 계산치). 2050 CN 지향. 회계연도·구매전력 포함 경계 — 한국(역년·직접배출)과 직접 비교 금지. env.go.jp 평가검증자료로 교차확인"
"METI_ENV_EVAL_2025","METI·환경성","2024年度カーボンニュートラル行動計画 評価・検証結果 (2025.7.24 자료3)","regulation","https://www.env.go.jp/content/000330814.pdf","2025-07-24","2026-08-06","2013-04-01","2024-03-31","化学・非鉄金属 업종 표","일본 정부 저작물","conditional","","","PDF text (web fetch)","일본화학공업협회 참여사 FY2023 51.73 Mt-CO2(FY2013 대비 ▲17.4%, 조정후 배출계수=구매전력 포함). 2030 목표 FY2013 대비 ▲32%(절대량 43.28 Mt는 스니펫 확인). FY2013 역산치 62.6 Mt(계산). 2050 CN 지향(JCIA)"
"IEA_GECM_DOC_2025","IEA","Global Energy and Climate Model Documentation 2025","report","https://iea.blob.core.windows.net/assets/9155992e-962c-45f4-97c1-78fd43a94178/GlobalEnergyandClimateModelDocumentation2025.pdf","2025-01-01","2026-08-06","2024-01-01","2050-12-31","Table 2.3 (pp.21-22) 연료가격, Table 2.4 CO2가격","IEA Terms of Use","conditional","","","PDF text (web fetch)","단위 USD2024(MER). 연료가격 연도축 2024/2035/2050만 제공(중간연도 보간 필요). 일본 LNG 수입(USD/MBtu): 실적 13.5, NZE 4.9/4.9, STEPS 8.4/9.7. 일본 수입 연료탄(USD/t, 6000kcal): 151, NZE 57/49, STEPS 100/84. 원료탄(coking) 미제공 — 연료탄은 프록시. CO2(전력부문): 한국 STEPS 52/62/75, 일본 STEPS 39/61/105 (2035/40/50), NZE 선진국 180/205/250"
"EST_D2A_V0","CAP 프로젝트 자체 추정","D2a 섹터 탄소예산 잠정 경로 v0 (선형 보간)","estimate","(방법: data/manifests/estimation_notes_D2_v0.md)","2026-08-06","2026-08-06","2025-01-01","2050-12-31","","프로젝트 내부","yes","","","interpolation","추정치 — GCAM-KAIST 수령 시 전량 대체. 방법: NZ15 = [최근 실적 → 2030(산업 NDC 비율 적용/업계 목표) → 2050(정부 시나리오 잔여배출/CN=0)] 구간별 선형. B20 = 2025 동일 출발 → 2050 기준선의 30% 잔존(≈△70%) 선형. 경계: 한국=직접배출(역년), 일본=구매전력 포함(회계연도) — 국가 간 비교 금지, 국가 내 정합만 유지"
"EST_D2B_V0","CAP 프로젝트 자체 추정","D2b 가격 경로 잠정 보간 v0","estimate","(방법: data/manifests/estimation_notes_D2_v0.md)","2026-08-06","2026-08-06","2025-01-01","2050-12-31","","프로젝트 내부","yes","","","interpolation","추정치 — GCAM-KAIST/NGFS 수령 시 대체. 앵커 연도(IEA Table 2.3/2.4, 정부 목표, 한은·금감원)는 실출처 source_id 유지, 그 외 연도만 EST. 탄소가격: 한국 NZ15는 BOK 앵커 기하보간(연 +12.9%), B20은 IEA STEPS 프록시. 수소: 목표경로 선형(한국 2025 현재가 미검증 → 빈칸). 전력: 한국=SNU 발전단가 시나리오 선형(NZ15=원전38% 안 175.3원, B20=원전50% 안 146.3원/kWh — 원전비중 가정을 시나리오 강도 대용으로 사용한 한계 있음), 일본=METI 신설 LCOE 주요전원 단순평균(시나리오 미분화). 석탄·가스=일본 수입 벤치마크(한국 행에도 동일 계열 사용, 원료탄 아님 주의)"
"VOGL_2018","Vogl, Åhman & Nilsson","Assessment of hydrogen direct reduction for fossil-free steelmaking (J. Cleaner Production 203)","academic","https://doi.org/10.1016/j.jclepro.2018.08.279","2018-12-01","2026-08-06","","","§2.1, §3.2-3.3 (전문 PDF 미러 확인)","Elsevier","conditional","","","PDF text (web fetch)","H2-DRI 정본: 수소 51 kgH2/t액강(100% HBI), 전력 3.48 MWh/t(전해조 포함, 전해조가 2/3), EAF만 0.753, 전환후 배출 53 kgCO2/t(재생전력 전제), CAPEX 574 EUR/t(전해조160+샤프트230+EAF184, 2011 가격기준), O&M 연 3%, 전해조 수명 10년/기타 20년. 스크랩 EAF 전력 0.667 MWh/t. 기준: t 액강(압연 제외)"
"DIW_DP2082","DIW Berlin","Revisiting Investment Costs for Green Steel (Discussion Paper 2082)","academic","https://www.diw.de/documents/publikationen/73/diw_01.c.902187.de/dp2082.pdf","2024-01-01","2026-08-06","","","Table 1, A2, §4.1","DIW","conditional","","","PDF text (web fetch)","€2022 물가보정 CAPEX 중앙값: EAF 문헌 254/발표 467, DRP+EAF 문헌 592/발표 751, 전해조 포함 886~1,600. 발표 프로젝트가 문헌 대비 +27%. 그린필드 설비비 기준(엔지니어링·토지 제외). POSCO 광양 EAF €170.15/t(€2023) 수록 — 문헌 대비 현저히 낮음(기존 부지·인프라 재활용 추정)"
"RSC_ECRACKER_2025","Royal Society of Chemistry (Green Chemistry)","Decarbonization approaches for ethylene production (d4gc04538f)","academic","https://pubs.rsc.org/en/content/articlehtml/2025/gc/d4gc04538f","2025-01-01","2026-08-06","","","Table 5, §3.3","RSC","conditional","","","HTML (web fetch)","에탄 크래커 기준(나프타 아님!): 전기가열 TPC $195/kg·day(베이스라인 233 대비 -38, 보일러·발전 불요), 전력 3.1 MWh/t에틸렌, on-site EF 0(베이스라인 442 kg/t), H2 부산물 65.1 kg/t 판매가능, 패리티 전력가 $40-48/MWh. CCUS 케이스: TPC $242/kg·day, 전환후 69 kgCO2e/t, 회피비용 $266/tCO2e. BASF·SABIC·Linde 6MW 실증 2024.4 가동(직접배출 90%+ 감축)"
"KBC_CHEMENG_2024","KBC(Yokogawa)/Chemical Engineering","Investigating Decarbonization Strategies for Steam-Cracker Furnaces (2024.11)","industry report","https://www.chemengonline.com/investigating-decarbonization-strategies-for-steam-cracker-furnaces/","2024-11-01","2026-08-06","","","본문","상업 매체","conditional","","","HTML (web fetch)","수소혼소: 연료 H2 60wt% 시 CO2 약 70% 감축, H2 $2/kg 시 마진 -4.6~-5.4%. 리트로핏 CAPEX 정량치 미공개(버너 개보수 필요 정성 서술만). 운전최적화 에너지 -4.6%(배출 -44%는 수소혼소 기여 포함 주의), 고방사율 코팅 CO2 -4%. 기존 크래커 EF 0.85-1.8 tCO2/t에틸렌(원료 의존)"
"POSCO_GY_EAF","POSCO/언론 교차","광양 전기로 투자 (2023 발표, 2026 준공)","company disclosure","https://newsroom.posco.com/kr/","2023-02-01","2026-08-06","2024-01-01","2026-12-31","경향신문(2023.2)·아주경제(2026.6) 등 다수 매체 + DIW DP2082 표 수록(€170.15/t)","공시자료","conditional","","","스니펫+DIW 교차","6,000억원 / 연산 250만t = 약 240천원/t. 2024.1 착공→2026 준공(~2.5년). 고로 대비 최대 75% 감축, 연 ~350만t CO2 감축 주장. 언론 스니펫 기반이나 DIW 논문 표로 교차확인됨. 공시 원문 대조 필요"
"NSC_EAF_2025","Nippon Steel/언론","야하타·히로하타·슈난 대형 전기로 투자 발표","company disclosure","(Mysteel, SteelOrbis, gmk.center, Transition Asia 보도 종합)","2025-01-01","2026-08-06","2025-01-01","2029-12-31","","공시자료","conditional","","","search snippet","야하타 6,302억엔/200만t(≈¥315천/t), 히로하타 1,400억엔/50만t, 슈난 985억엔/40만t, 총 8,687억엔/290만t, FY2029 하반기 가동. 부대설비 포함 총투자로 보여 POSCO(240천원/t)와 범위 상이 — 평균 금지, 범위로 사용. 스니펫 단계 — D7 인용용으로는 공시 원문 확보 필요"
"IEAGHG_STEELCCS","IEAGHG 계열 문헌 종합","철강 CCUS 포집비용 (PMC6200798 등)","academic","https://pmc.ncbi.nlm.nih.gov/articles/PMC6200798/","2018-01-01","2026-08-06","","","","","conditional","","","search snippet","MEA 90% 분리 기준 60-100 €2015/tCO2, 사이트 배출의 50-80% 저감 가능. BF 상용 CCUS 실적 0건(파일럿 80-90%). IEA NZE 2023서 철강 CCUS 비중 하향(→37%). 스니펫 수준 — 저신뢰, 원문 대조 필요. $47-76/t 등 귀속불명 수치는 배제"
"NATURE_STEELEFF_2025","Nature","Technological pathways for cost-effective steel decarbonization (2025)","academic","https://www.nature.com/articles/s41586-025-09658-9","2025-01-01","2026-08-06","","","","Springer Nature","conditional","","","search snippet","BAT 리트로핏 평균 US$15/tCO2 (한국 포함 251개 플랜트), 에너지효율 단독 -US$8.5/tCO2(비용절감형). t용량당 CAPEX 형태 수치는 미제공. 스니펫 단계"
"EST_D3_V0","CAP 프로젝트 자체 추정","D3 기술비용 잠정 대표값 v0 (환산·근사 규칙)","estimate","(방법: data/manifests/estimation_notes_D2_v0.md D3절)","2026-08-06","2026-08-06","","","","프로젝트 내부","yes","","","conversion+judgement","v0 기준환율: USD 1,400원 / EUR 1,500원 / JPY 9.5원 (근사 — D4 환율 수집 후 재계산). kg·day 용량 → t/yr 환산 ×2.74. H2-DRI는 수소 외부구매 가정(전해조 CAPEX 제외 — D2b 수소가격과 이중계상 방지). avail_year·build_years 일부는 실증 일정 기반 판단치. 플랜잇 MACC 수령 시 _alt 행으로 병기 예정"
"POSCO_BF_MEDIA","포스코뉴스룸/페로타임즈/철강금속신문 종합","POSCO 고로 개수 이력 보도 종합","registry","https://www.ferrotimes.com/news/articleView.html?idxno=31576","2024-01-09","2026-08-06","1976-01-01","2026-12-31","포항3고로 화입(뉴스룸 2017.6.6), 포항4고로 3차개수(페로타임즈), 광양2고로 개수(AI타임스 2025.3.17/전자신문 2025.8.17), 광양3고로(철강금속신문 2020.2), 광양4고로(뉴스룸), 광양5고로(페로타임즈)","언론","conditional","","","HTML (web fetch)","관찰 개수주기 13~19년, 중앙값 ~15년 → reinvest_cycle 15 적용. 미확보: 포항2고로 내용적·1/2차 개수연도(4대기 화입 2015.5.12는 스니펫), 광양2고로 첫 화입연도(1988 추정)·현 개수 화입일, 고로별 t/yr 능력(광양1고로 548만t 외). 포항1고로 2021.12.29 종풍. FINEX2(150만t, 2007) 2025년말 폐쇄 결정(이데일리 스니펫), FINEX3(200만t, 2014) 가동. 포항 전기로 250만t 2027 신설 추진 보도(한국일보 스니펫)"
"POSCO_ESG_ROADMAP","POSCO","탈탄소 로드맵 (지속가능경영 사이트, 2025)","company report","https://sustainability.posco.co.kr/S91/S91F10/kor/cmspage.do?mmcd=1748825310001950","2025-01-01","2026-08-06","2024-01-01","2050-12-31","탈탄소 로드맵 페이지","공시자료","conditional","","","HTML (web fetch)","원문 인용 확보(D7). 2024 배출 실적 71.1백만t(목표 75.7), 기준배출 2017-19 평균. HyREX 포항 데모 30만t, 2030 상용화 가능성 검증. 감축경로 2030 △10%/2040 △50%(브로슈어, 스니펫). 머니투데이 2026.1.14: 2050년까지 고로 7기 수소환원 전환(가동 8기 중 — 1기 제외 시사, 공식 미발표)"
"NSC_DATABOOK_2025","日本製鉄","データブック2025 (2025.9 발행, 설비 2025.7.1 현재)","company report","https://www.sse.or.jp/wp-content/uploads/2025/10/20251011_54010_esg-2.pdf","2025-09-01","2026-08-06","2025-07-01","2025-07-01","pp.13-14 主要設備 高炉(炉内容積)(改修稼働)","공시자료","conditional","","","PDF text (web fetch)","가동 고로 10기 내용적·최근 개수연도 전량 수록(최초 화입연도·고로별 능력은 미공시 — 지구별 조강 실적으로 대용). 삿포로증권거래소 게재 사본 — 인용 시 nipponsteel.com 원본 URL로 교체 권장. FY2024 단독 에너지기원 CO2 75백만t, 원단위 1.96 t/t조강. 4기(鹿島1·君津4·大分2·名古屋1)가 2003-07년 개수 후 20년+ 무개수 → 주기 20년 적용"
"NSC_PR_20250530","日本製鉄","전기로 전환 투자 실행 결정 (GX 지원 채택)","company disclosure","https://www.nipponsteel.com/common/secure/news/20250530_200.pdf","2025-05-30","2026-08-06","2025-01-01","2029-12-31","프레스릴리스 PDF 전문","공시자료","conditional","","","PDF text (web fetch)","야하타 신설 200만t(6,302억엔)·히로하타 증설 50만t(1,400억엔)·山口(周南, 日鉄스테인리스 관할 — 별도법인이라 D1a 제외) 40만t(985억엔), 총 8,687억엔, 정부지원 상한 2,514억엔, 생산개시 2028-2029년도 하기. 착공 2026.4.15(별도 릴리스). 야하타 전환으로 戸畑4고로 포함 제선·제강 일부 휴지 방침, CO2 약 370만t/yr 감축 전망(CN페이지)"
"NSC_CN_COURSE50","日本製鉄","카본뉴트럴 페이지 + COURSE50 실증 릴리스(2023.2.9)","company disclosure","https://www.nipponsteel.com/carbon-neutral/zerocarbon.html","2023-02-09","2026-08-06","2022-05-01","2050-12-31","CN 페이지 + news/20230209_100.html","공시자료","conditional","","","HTML+PDF (web fetch)","君津2고로(4,500m³)에서 수소계가스 취입 실증 2026.1 개시(세계 최초 대형 실기). 시험고로 CO2 43% 감축 확인(2024.11-12). Super COURSE50(50% 감축) 2050년도까지 대형고로 확립 목표. 2030 총배출 2013比 -30%, 2050 CN"
"LOTTE_MEDIA_2026","머니투데이/이투뉴스/EBN 등","롯데케미칼 여수·대산 NCC 능력·사업재편 보도","registry","https://www.mt.co.kr/industry/2026/05/15/2026051419543520837","2026-05-15","2026-08-06","2024-01-01","2026-12-31","머니투데이 2026.5.15(여수 123만t), 이투뉴스 2026.2.25(대산 110만t 가동중단·'대산 1호' 승인), EBN 2025.4.9(정기보수 4-5년 주기)","언론","conditional","","","HTML (web fetch)","여수 NCC 123만t(1992 가동, 2012 75→100만t, 2017발표 +20만t) — 여천NCC와 통합법인 이관 예정(여천 2·3호기 139만t 감축, 롯데 NCC 존치, '여수 1호' 2026.7 승인). 대산 NCC 110만t(구 현대석유화학, 2003 인수, 2008 65→100만t) — HD현대케미칼과 합병 '롯데대산석화' 2026.6 출범, 롯데 NCC 가동중단 계획. 정기보수 4-5년 주기·회당 3주-2개월(EBN 원문). 대산 최초가동 1991년설은 1차 사료 미확인(잠정). 울산은 NCC 없음(방향족) — PIA 1·3라인 2024.2 가동중단"
"LOTTE_PR_2030","롯데케미칼","2030 비전·탄소감축성장 보도자료 (2022.5.19)","company disclosure","https://www.lottechem.com/ko/media/news/542/view.do","2022-05-19","2026-08-06","2019-01-01","2050-12-31","보도자료 본문","공시자료","conditional","","","HTML (web fetch)","원문 인용 확보(D7): 2030년 2019년 대비 25% 감축, 2050 탄소중립, RE100 추진. CCU: 대산 연 20만t 포집·액화(600억, 2023 하반기 목표 — 준공 여부 미확인), 2030년까지 50만t 확대(2021.12.5 자료, 스니펫). 재생에너지 2030년 60%(ESG보고서, 스니펫)"
